Model,Contrast,BestK,MeanSilhouette,ClusterCounts
sHRF,body,2,0.383661180734634,[5 484]
sHRF,faces,2,0.372099101543427,[174 315]
sHRF,places,2,0.500637650489807,[35 454]
sHRF,tools,2,0.416690140962601,[94 395]
cHRFderiv,body,2,0.346732705831528,[7 482]
cHRFderiv,faces,2,0.323183327913284,[468 21]
cHRFderiv,places,2,0.342643618583679,[3 486]
cHRFderiv,tools,2,0.451412469148636,[421 68]
cHRF,body,2,0.476727247238159,[433 56]
cHRF,faces,2,0.518136620521545,[145 344]
cHRF,places,2,0.309222608804703,[2 487]
cHRF,tools,2,0.40759539604187,[29 460]
