Model,Contrast,Cluster,Size,WithinConsensus,BetweenConsensus,ConsensusGap,MeanRegionStability,JaccardMean,JaccardSE,OverallARI
sHRF,body,1,5,0.7064,0.682957024793388,0.0234429752066119,0.7064,0.0824361217964059,0.00463193775520635,0.120552016094173
sHRF,body,2,484,0.911706928117996,0.682957024793389,0.228749903324608,0.911706928117995,0.940881145915837,0.00327217661689284,0.120552016094173
sHRF,faces,1,174,0.725741944056874,0.384923663565043,0.340818280491831,0.725741944056873,0.535830285820704,0.00732293390347793,0.319580007259906
sHRF,faces,2,315,0.699025781013043,0.384923663565041,0.314102117448003,0.699025781013042,0.704230353467799,0.00269418648354557,0.319580007259906
sHRF,places,1,35,0.563253781512605,0.438943108873506,0.124310672639099,0.563253781512605,0.284183892811499,0.00340978188757495,0.334940950582528
sHRF,places,2,454,0.847557040192161,0.438943108873507,0.408613931318654,0.84755704019216,0.885941304692038,0.00174572922185083,0.334940950582528
sHRF,tools,1,94,0.67186501944635,0.348901319687583,0.322963699758767,0.671865019446351,0.447794241568345,0.00348779052426082,0.360284483088385
sHRF,tools,2,395,0.733328741245252,0.348901319687583,0.38442742155767,0.733328741245261,0.783630650552038,0.00313013476340637,0.360284483088385
cHRFderiv,body,1,7,0.608571428571429,0.578950800237106,0.029620628334323,0.608571428571429,0.0805915322378418,0.00422735374392492,0.108517475701082
cHRFderiv,body,2,482,0.811554213645501,0.578950800237103,0.232603413408398,0.8115542136455,0.872538695013157,0.00471725596199245,0.108517475701082
cHRFderiv,faces,1,468,0.859163106938268,0.670659137159136,0.188503969779132,0.859163106938267,0.865866760872018,0.00676270920499199,0.204345487634464
cHRFderiv,faces,2,21,0.669828571428572,0.670659137159137,-0.000830565730565502,0.669828571428572,0.15644834044451,0.00480187273849634,0.204345487634464
cHRFderiv,places,1,3,0.72,0.663260631001371,0.0567393689986289,0.72,0.0856124018827031,0.00612685335801816,0.124610164031571
cHRFderiv,places,2,486,0.943407967417592,0.663260631001372,0.28014733641622,0.94340796741759,0.964503381413127,0.00210945822405551,0.124610164031571
cHRFderiv,tools,1,421,0.921951589186682,0.550521726980586,0.371429862206097,0.921951589186743,0.88145254616229,0.00145488312702314,0.377446073988509
cHRFderiv,tools,2,68,0.672918349429324,0.550521726980582,0.122396622448742,0.672918349429324,0.348650003371913,0.0089599639990663,0.377446073988509
cHRF,body,1,433,0.898868231973314,0.552990844605736,0.345877387367578,0.898868231973312,0.882757084960797,0.00242286223462284,0.327663213853566
cHRF,body,2,56,0.79357792207792,0.552990844605741,0.24058707747218,0.793577922077922,0.314318176709074,0.0122995678075228,0.327663213853566
cHRF,faces,1,145,0.852686206896554,0.247821251002405,0.604864955894149,0.852686206896552,0.669929466453274,0.00878639345642972,0.572400970587572
cHRF,faces,2,344,0.820363075462738,0.2478212510024,0.572541824460339,0.820363075462743,0.842260718871826,0.00286649007041303,0.572400970587572
cHRF,places,1,2,0.58,0.661835728952772,-0.0818357289527725,0.58,0.0737834075677795,0.00548161669296485,0.110601475576502
cHRF,places,2,487,0.882517098892185,0.661835728952773,0.220681369939413,0.882517098892184,0.918516334224174,0.00528771465131527,0.110601475576502
cHRF,tools,1,29,0.713911330049261,0.588071364317843,0.125839965731418,0.713911330049261,0.280126312754381,0.00908567541567752,0.352208658519419
cHRF,tools,2,460,0.954831789334093,0.588071364317844,0.366760425016249,0.95483178933409,0.942002940158338,0.000632500272394104,0.352208658519419
